!!SBtab TableID="ParameterData" TableType="Quantity" Version="0.1" Level="1.0"  TableName="Jiang Data"									
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mean	!Std	!Unit	!Organism	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound	!Reference
Michaelis constant	v31	OXA_cyt	0.1	nan	mM	Physarum polycephalum	R00342	C00036	Brenda
Michaelis constant	v31	NAD	0.1	nan	mM	Comamonas testosteroni	R00342	C00003	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Comamonas testosteroni	R00342	C00004	Brenda
Michaelis constant	v31	NAD	0.2	nan	mM	Comamonas testosteroni	R00342	C00003	Brenda
Michaelis constant	v31	NAD	0.1	nan	mM	Comamonas testosteroni	R00342	C00003	Brenda
Michaelis constant	v31	Mal_cyt	0.1	nan	mM	Comamonas testosteroni	R00342	C00149	Brenda
Michaelis constant	v31	Mal_cyt	0.3	nan	mM	Comamonas testosteroni	R00342	C00149	Brenda
Michaelis constant	v31	OXA_cyt	0.1	nan	mM	Comamonas testosteroni	R00342	C00036	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Echinococcus granulosus	R00342	C00036	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Echinococcus granulosus	R00342	C00036	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Echinococcus granulosus	R00342	C00036	Brenda
Michaelis constant	v31	NAD	0	nan	mM	Echinococcus granulosus	R00342	C00003	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Echinococcus granulosus	R00342	C00004	Brenda
Michaelis constant	v31	Mal_cyt	0	nan	mM	Echinococcus granulosus	R00342	C00149	Brenda
Michaelis constant	v31	NAD	0	nan	mM	Echinococcus granulosus	R00342	C00003	Brenda
Michaelis constant	v31	NAD	0	nan	mM	Echinococcus granulosus	R00342	C00003	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Echinococcus granulosus	R00342	C00004	Brenda
Michaelis constant	v31	Mal_cyt	0	nan	mM	Echinococcus granulosus	R00342	C00149	Brenda
Michaelis constant	v31	Mal_cyt	0.1	nan	mM	Echinococcus granulosus	R00342	C00149	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Echinococcus granulosus	R00342	C00004	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Mesembryanthemum crystallinum	R00342	C00036	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Mesembryanthemum crystallinum	R00342	C00036	Brenda
Michaelis constant	v31	Mal_cyt	0	nan	mM	Mesembryanthemum crystallinum	R00342	C00149	Brenda
Michaelis constant	v31	NAD	0.3	nan	mM	Mesembryanthemum crystallinum	R00342	C00003	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Mesembryanthemum crystallinum	R00342	C00004	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Methanospirillum hungatei	R00342	C00036	Brenda
Michaelis constant	v31	NADH_cyt	0.1	nan	mM	Methanospirillum hungatei	R00342	C00004	Brenda
Michaelis constant	v31	NADH_cyt	0.1	nan	mM	Methanospirillum hungatei	R00342	C00004	Brenda
Michaelis constant	v31	NAD	0	nan	mM	nan	R00342	C00003	Brenda
Michaelis constant	v31	Mal_cyt	5.6	nan	mM	nan	R00342	C00149	Brenda
Michaelis constant	v31	NADP_p	0.2	nan	mM	nan	R00342	C00006	Brenda
Michaelis constant	v31	NADH_cyt	0.1	nan	mM	Bacillus subtilis	R00342	C00004	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Bacillus subtilis	R00342	C00004	Brenda
Michaelis constant	v31	OXA_cyt	0.1	nan	mM	Bacillus subtilis	R00342	C00036	Brenda
Michaelis constant	v31	NAD	0.1	nan	mM	Bacillus subtilis	R00342	C00003	Brenda
Michaelis constant	v31	Mal_cyt	0.9	nan	mM	Bacillus subtilis	R00342	C00149	Brenda
Michaelis constant	v31	NAD	0.3	nan	mM	Ananas comosus	R00342	C00003	Brenda
Michaelis constant	v31	NAD	0.2	nan	mM	Ananas comosus	R00342	C00003	Brenda
Michaelis constant	v31	Mal_cyt	0.5	nan	mM	Ananas comosus	R00342	C00149	Brenda
Michaelis constant	v31	OXA_cyt	0.3	nan	mM	Ananas comosus	R00342	C00036	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Ananas comosus	R00342	C00004	Brenda
Michaelis constant	v31	OXA_cyt	0.1	nan	mM	Ananas comosus	R00342	C00036	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Ananas comosus	R00342	C00004	Brenda
Michaelis constant	v31	NAD	0.6	nan	mM	Anthocidaris crassispina	R00342	C00003	Brenda
Michaelis constant	v31	Mal_cyt	7	nan	mM	Anthocidaris crassispina	R00342	C00149	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	nan	R00342	C00004	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	nan	R00342	C00036	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Gallus sp.	R00342	C00036	Brenda
Michaelis constant	v31	Mal_cyt	8	nan	mM	Drosophila virilis	R00342	C00149	Brenda
Michaelis constant	v31	Mal_cyt	20	nan	mM	Drosophila virilis	R00342	C00149	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Drosophila virilis	R00342	C00036	Brenda
Michaelis constant	v31	OXA_cyt	0.1	nan	mM	Haemophilus parasuis	R00342	C00036	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Haemophilus parasuis	R00342	C00004	Brenda
Michaelis constant	v31	NAD	0.1	nan	mM	Haemophilus parasuis	R00342	C00003	Brenda
Michaelis constant	v31	NAD	0.3	nan	mM	Escherichia coli	R00342	C00003	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Escherichia coli	R00342	C00036	Brenda
Michaelis constant	v31	NAD	0.5	nan	mM	Escherichia coli	R00342	C00003	Brenda
Michaelis constant	v31	Mal_cyt	5.3	nan	mM	Escherichia coli	R00342	C00149	Brenda
Michaelis constant	v31	OXA_cyt	0.3	nan	mM	Escherichia coli	R00342	C00036	Brenda
Michaelis constant	v31	Mal_cyt	6.8	nan	mM	Escherichia coli	R00342	C00149	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Escherichia coli	R00342	C00036	Brenda
Michaelis constant	v31	NAD	0.4	nan	mM	Escherichia coli	R00342	C00003	Brenda
Michaelis constant	v31	NADH_cyt	0.1	nan	mM	Escherichia coli	R00342	C00004	Brenda
Michaelis constant	v31	OXA_cyt	0.6	nan	mM	Escherichia coli	R00342	C00036	Brenda
Michaelis constant	v31	OXA_cyt	0.1	nan	mM	Escherichia coli	R00342	C00036	Brenda
Michaelis constant	v31	NADH_cyt	0.1	nan	mM	Escherichia coli	R00342	C00004	Brenda
Michaelis constant	v31	Mal_cyt	2.6	nan	mM	Escherichia coli	R00342	C00149	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Escherichia coli	R00342	C00036	Brenda
Michaelis constant	v31	NADH_cyt	0.1	nan	mM	Escherichia coli	R00342	C00004	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Escherichia coli	R00342	C00036	Brenda
Michaelis constant	v31	NADH_cyt	0.1	nan	mM	Escherichia coli	R00342	C00004	Brenda
Michaelis constant	v31	Mal_cyt	0.2	nan	mM	Acinetobacter lwoffii	R00342	C00149	Brenda
Michaelis constant	v31	NAD	0.4	nan	mM	Acinetobacter lwoffii	R00342	C00003	Brenda
Michaelis constant	v31	OXA_cyt	0	nan	mM	Acinetobacter lwoffii	R00342	C00036	Brenda
Michaelis constant	v31	NADH_cyt	0	nan	mM	Acinetobacter lwoffii	R00342	C00004	Brenda
concentration of enzyme	v34	nan	3320	nan	molecules/cell	Saccharomyces cerevisiae	R04433	nan	yeastGFP
substrate catalytic rate constant	v34	nan	6.6	nan	1/s	Homo sapiens	R04433	C05377	Brenda
substrate catalytic rate constant	v34	nan	74.3	nan	1/s	Homo sapiens	R04433	C15494	Brenda
substrate catalytic rate constant	v34	nan	59.9	nan	1/s	Homo sapiens	R04433	C15494	Brenda
substrate catalytic rate constant	v34	nan	33.5	nan	1/s	Homo sapiens	R04433	C00399	Brenda
substrate catalytic rate constant	v34	nan	21.4	nan	1/s	Homo sapiens	R04433	C04253	Brenda
substrate catalytic rate constant	v34	nan	35.5	nan	1/s	Homo sapiens	R04433	C00399	Brenda
substrate catalytic rate constant	v34	nan	81.4	nan	1/s	Homo sapiens	R04433	C04253	Brenda
substrate catalytic rate constant	v34	nan	84	nan	1/s	Sus scrofa	R04433	C00399	Brenda
substrate catalytic rate constant	v34	nan	115	nan	1/s	Sus scrofa	R04433	C00399	Brenda
substrate catalytic rate constant	v34	nan	182	nan	1/s	Sus scrofa	R04433	C00399	Brenda
substrate catalytic rate constant	v34	nan	162	nan	1/s	Sus scrofa	R04433	C00399	Brenda
substrate catalytic rate constant	v34	nan	90	nan	1/s	Sus scrofa	R04433	C04253	Brenda
substrate catalytic rate constant	v34	nan	200	nan	1/s	Sus scrofa	R04433	C04253	Brenda
substrate catalytic rate constant	v34	nan	132	nan	1/s	Sus scrofa	R04433	C00399	Brenda
substrate catalytic rate constant	v34	nan	210	nan	1/s	Sus scrofa	R04433	C00399	Brenda
substrate catalytic rate constant	v34	nan	78	nan	1/s	Sus scrofa	R04433	C04253	Brenda
substrate catalytic rate constant	v34	nan	246	nan	1/s	Sus scrofa	R04433	C00399	Brenda
Michaelis constant	v34	Q	0	nan	mM	Homo sapiens	R04433	C00399	Brenda
Michaelis constant	v34	ETFox	0	nan	mM	Homo sapiens	R04433	C04253	Brenda
Michaelis constant	v34	Q	0	nan	mM	Homo sapiens	R04433	C00399	Brenda
Michaelis constant	v34	ETFox	0	nan	mM	Homo sapiens	R04433	C04253	Brenda
Michaelis constant	v34	Q	0	nan	mM	Homo sapiens	R04433	C00399	Brenda
Michaelis constant	v34	Q	0	nan	mM	Homo sapiens	R04433	C00399	Brenda
Michaelis constant	v34	Q	0	nan	mM	Homo sapiens	R04433	C00399	Brenda
Michaelis constant	v34	Q	0	nan	mM	Homo sapiens	R04433	C00399	Brenda
Michaelis constant	v34	Q	0	nan	mM	Homo sapiens	R04433	C00399	Brenda
Michaelis constant	v34	Q	0	nan	mM	Homo sapiens	R04433	C00399	Brenda
Michaelis constant	v34	Q	0	nan	mM	Homo sapiens	R04433	C00399	Brenda
Michaelis constant	v34	Q	0	nan	mM	Homo sapiens	R04433	C00399	Brenda
Michaelis constant	v34	Q	0	nan	mM	Homo sapiens	R04433	C00399	Brenda
Michaelis constant	v34	ETFox	0	nan	mM	Homo sapiens	R04433	C04253	Brenda
Michaelis constant	v34	ETFox	0	nan	mM	Homo sapiens	R04433	C04253	Brenda
Michaelis constant	v34	ETFox	0	nan	mM	Sus scrofa	R04433	C04253	Brenda
Michaelis constant	v34	ETFox	0	nan	mM	Sus scrofa	R04433	C04253	Brenda
Michaelis constant	v34	Q	0	nan	mM	Sus scrofa	R04433	C00399	Brenda
Michaelis constant	v34	Q	0	nan	mM	Sus scrofa	R04433	C00399	Brenda
Michaelis constant	v34	Q	0	nan	mM	Sus scrofa	R04433	C00399	Brenda
Michaelis constant	v34	Q	0	nan	mM	Sus scrofa	R04433	C00399	Brenda
Michaelis constant	v34	Q	0	nan	mM	Sus scrofa	R04433	C00399	Brenda
Michaelis constant	v34	ETFox	0	nan	mM	Sus scrofa	R04433	C04253	Brenda
Michaelis constant	v34	ETFox	0	nan	mM	Sus scrofa	R04433	C04253	Brenda
Michaelis constant	v34	Q	0	nan	mM	Sus scrofa	R04433	C00399	Brenda
Michaelis constant	v34	ETFox	0	nan	mM	Sus scrofa	R04433	C04253	Brenda
Michaelis constant	v34	Q	0.1	nan	mM	Sus scrofa	R04433	C00399	Brenda
Michaelis constant	v34	ETFox	0	nan	mM	Sus scrofa	R04433	C04253	Brenda
Michaelis constant	v34	ETFox	0	nan	mM	Sus scrofa	R04433	C04253	Brenda
Michaelis constant	v34	Q	6900	nan	mM	Sus scrofa	R04433	C00399	Brenda
Michaelis constant	v34	ETFox	5400	nan	mM	Sus scrofa	R04433	C04253	Brenda
concentration of enzyme	v44	nan	10500	nan	molecules/cell	Saccharomyces cerevisiae	R00216	nan	yeastGFP
inhibitory constant	v44	Pyr	2.6	nan	mM	Zea mays	R00216	C00022	Brenda
inhibitory constant	v44	Mal	4.7	nan	mM	Zea mays	R00216	C00149	Brenda
inhibitory constant	v44	Pyr	1.3	nan	mM	Zea mays	R00216	C00022	Brenda
inhibitory constant	v44	AMP	0.3	nan	mM	Zea mays	R00216	C00020	Brenda
inhibitory constant	v44	AMP	0.4	nan	mM	Zea mays	R00216	C00020	Brenda
inhibitory constant	v44	NADPH	0	nan	mM	Ricinus communis	R00216	C00005	Brenda
inhibitory constant	v44	Pyr	0	nan	mM	Ricinus communis	R00216	C00022	Brenda
inhibitory constant	v44	CO2	0.8	nan	mM	Ricinus communis	R00216	C00011	Brenda
inhibitory constant	v44	CO2	0.4	nan	mM	Ricinus communis	R00216	C00011	Brenda
inhibitory constant	v44	NADPH	0.5	nan	mM	Ricinus communis	R00216	C00005	Brenda
inhibitory constant	v44	Asp_cyt	80	nan	mM	Ascaris suum	R00216	C00049	Brenda
inhibitory constant	v44	Asp_cyt	58	nan	mM	Ascaris suum	R00216	C00049	Brenda
inhibitory constant	v44	CoA_cyt	2.4	nan	mM	Corynebacterium glutamicum	R00216	C00010	Brenda
inhibitory constant	v44	PEP	28	nan	mM	Rattus norvegicus	R00216	C00074	Brenda
inhibitory constant	v44	Pyr	1.3	nan	mM	Klebsiella aerogenes	R00216	C00022	Brenda
inhibitory constant	v44	Pyr	2.1	nan	mM	Pseudomonas stutzeri	R00216	C00022	Brenda
inhibitory constant	v44	PEP	7.8	nan	mM	Pseudomonas stutzeri	R00216	C00074	Brenda
concentration of enzyme	v26	nan	35500	nan	molecules/cell	Saccharomyces cerevisiae	R00081	nan	yeastGFP
concentration of enzyme	v26	nan	9410	nan	molecules/cell	Saccharomyces cerevisiae	R00081	nan	yeastGFP
concentration of enzyme	v26	nan	12500	nan	molecules/cell	Saccharomyces cerevisiae	R00081	nan	yeastGFP
concentration of enzyme	v26	nan	2250	nan	molecules/cell	Saccharomyces cerevisiae	R00081	nan	yeastGFP
concentration of enzyme	v26	nan	1390	nan	molecules/cell	Saccharomyces cerevisiae	R00081	nan	yeastGFP
concentration of enzyme	v26	nan	672	nan	molecules/cell	Saccharomyces cerevisiae	R00081	nan	yeastGFP
concentration of enzyme	v26	nan	639	nan	molecules/cell	Saccharomyces cerevisiae	R00081	nan	yeastGFP
concentration of enzyme	v26	nan	3670	nan	molecules/cell	Saccharomyces cerevisiae	R00081	nan	yeastGFP
substrate catalytic rate constant	v26	nan	24.3	nan	1/s	Micrococcus luteus	R00081	C00200	Brenda
inhibitory constant	v26	Cytc2p	0	nan	mM	Eukaryota	R00081	C00125	Brenda
inhibitory constant	v26	Cytc2p	0	nan	mM	Eukaryota	R00081	C00125	Brenda
inhibitory constant	v26	Cytc2p	0	nan	mM	Eukaryota	R00081	C00125	Brenda
substrate catalytic rate constant	v26	nan	53	nan	1/s	nan	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	3.9	nan	1/s	nan	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	8.3	nan	1/s	nan	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	30	nan	1/s	Homo sapiens	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	80	nan	1/s	Homo sapiens	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	120	nan	1/s	Rattus norvegicus	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	200	nan	1/s	Rattus norvegicus	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	133	nan	1/s	Rattus norvegicus	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	500	nan	1/s	Sus scrofa	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	540	nan	1/s	Sus scrofa	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	520	nan	1/s	Sus scrofa	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	1500	nan	1/s	Saccharomyces cerevisiae	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	400	nan	1/s	Bos taurus	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	1000	nan	1/s	Triticum aestivum	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	300	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	91	nan	1/s	Pseudomonas sp.	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	158	nan	1/s	Dictyostelium discoideum	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	1.6	nan	1/s	Nitrosomonas europaea	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	0.6	nan	1/s	Nitrosomonas europaea	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	14	nan	1/s	Nitrosomonas europaea	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	1.8	nan	1/s	Nitrosomonas europaea	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	32	nan	1/s	Nitrosomonas europaea	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	336	nan	1/s	Nitrosomonas europaea	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	111	nan	1/s	Crithidia fasciculata	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	9.4	nan	1/s	Micrococcus luteus	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	11	nan	1/s	Squalus acanthias	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	40	nan	1/s	Starkeya novella	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	90	nan	1/s	Paracoccus denitrificans	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	6	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	54	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	1300	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	50	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	230	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	700	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	100	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	270	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	1100	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	2000	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	180	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	1400	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	1200	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	220	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	400	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	600	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	590	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	1600	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	1700	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	980	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	290	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	260	nan	1/s	Rhodobacter sphaeroides	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	160	nan	1/s	Nitrobacter winogradskyi	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	187	nan	1/s	Magnetospirillum magnetotacticum	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	66	nan	1/s	Erythrobacter longus	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	24	nan	1/s	Erythrobacter longus	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	36	nan	1/s	Sphyrna lewini	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	350	nan	1/s	Carcharhinus limbatus	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	380	nan	1/s	Rhizoprionodon terraenovae	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	410	nan	1/s	Rhizoprionodon terraenovae	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	360	nan	1/s	Carcharhinus acronotus	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	30	nan	1/s	Eukaryota	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	50	nan	1/s	Eukaryota	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	2.1	nan	1/s	Bacillus subtilis	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	13.3	nan	1/s	Bacillus subtilis	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	8	nan	1/s	Bacillus subtilis	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	4	nan	1/s	Bacillus subtilis	R00081	C00524	Brenda
substrate catalytic rate constant	v26	nan	5	nan	1/s	Bacillus subtilis	R00081	C00524	Brenda
Michaelis constant	v26	Cytc3p	0	nan	mM	Bos taurus	R00081	C00126	Brenda
Michaelis constant	v26	Cytc3p	0	nan	mM	Bos taurus	R00081	C00126	Brenda
Michaelis constant	v26	Cytc3p	0.1	nan	mM	Sulfolobus acidocaldarius	R00081	C00126	Brenda
Michaelis constant	v26	Cytc3p	0.1	nan	mM	Nitrobacter winogradskyi	R00081	C00126	Brenda
Michaelis constant	v26	Cytc3p	0	nan	mM	Nitrobacter winogradskyi	R00081	C00126	Brenda
concentration of enzyme	v41	nan	2620	nan	molecules/cell	Saccharomyces cerevisiae	R00267	nan	yeastGFP
inhibitory constant	v41	OXA	0.4	nan	mM	Chlorobium limicola	R00267	C00036	Brenda
inhibitory constant	v41	NADPH_cyt	0	nan	mM	Pisum sativum	R00267	C00005	Brenda
inhibitory constant	v41	NADH_cyt	0.1	nan	mM	Pisum sativum	R00267	C00004	Brenda
inhibitory constant	v41	NADP_cyt	0	nan	mM	Pisum sativum	R00267	C00006	Brenda
inhibitory constant	v41	IsoCitcyt	0	nan	mM	Pisum sativum	R00267	C00311	Brenda
inhibitory constant	v41	OG_cyt	1	nan	mM	Pisum sativum	R00267	C00026	Brenda
inhibitory constant	v41	NADPH_cyt	0	nan	mM	Pisum sativum	R00267	C00005	Brenda
inhibitory constant	v41	IsoCitcyt	0	nan	mM	Pisum sativum	R00267	C00311	Brenda
inhibitory constant	v41	NADH_cyt	0.1	nan	mM	Pisum sativum	R00267	C00004	Brenda
inhibitory constant	v41	NADP_cyt	0	nan	mM	Pisum sativum	R00267	C00006	Brenda
inhibitory constant	v41	OG_cyt	0.1	nan	mM	Fomitopsis palustris	R00267	C00026	Brenda
inhibitory constant	v41	NAD	11	nan	mM	Sus scrofa	R00267	C00003	Brenda
inhibitory constant	v41	NAD	12	nan	mM	Sus scrofa	R00267	C00003	Brenda
inhibitory constant	v41	NAD	8	nan	mM	Sus scrofa	R00267	C00003	Brenda
concentration of enzyme	v28	nan	450	nan	molecules/cell	Saccharomyces cerevisiae	R00085	nan	yeastGFP
concentration of enzyme	v36	nan	17000	nan	molecules/cell	Saccharomyces cerevisiae	R00344	nan	yeastGFP
concentration of enzyme	v36	nan	12500	nan	molecules/cell	Saccharomyces cerevisiae	R00344	nan	yeastGFP
substrate catalytic rate constant	v36	nan	0.1	nan	1/s	Saccharomyces cerevisiae	R00344	C00169	Brenda
substrate catalytic rate constant	v36	nan	0.1	nan	1/s	Saccharomyces cerevisiae	R00344	C00169	Brenda
substrate catalytic rate constant	v36	nan	0	nan	1/s	Saccharomyces cerevisiae	R00344	C00169	Brenda
inhibitory constant	v36	OXA	0.2	nan	mM	Sinorhizobium meliloti	R00344	C00036	Brenda
Michaelis constant	v36	Pyr	0.5	nan	mM	Gallus gallus	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.3	nan	mM	Gallus gallus	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.3	nan	mM	Mycobacterium smegmatis	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.1	nan	mM	Geobacillus stearothermophilus	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.1	nan	mM	Phycomyces blakesleeanus	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.2	nan	mM	Pseudomonas fluorescens	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	1.9	nan	mM	Arthrobacter globiformis	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.2	nan	mM	nan	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.3	nan	mM	Apis mellifera	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.5	nan	mM	Methanocaldococcus jannaschii	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.3	nan	mM	Geobacillus thermodenitrificans	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.4	nan	mM	Geobacillus thermodenitrificans	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.5	nan	mM	Geobacillus thermodenitrificans	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.3	nan	mM	Geobacillus thermodenitrificans	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.3	nan	mM	Geobacillus thermodenitrificans	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	1.2	nan	mM	Geobacillus thermodenitrificans	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.6	nan	mM	Geobacillus thermodenitrificans	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.4	nan	mM	Geobacillus thermodenitrificans	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0	nan	mM	Geobacillus thermodenitrificans	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	1.2	nan	mM	Geobacillus thermodenitrificans	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	1.6	nan	mM	Geobacillus thermodenitrificans	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	16.2	nan	mM	Geobacillus thermodenitrificans	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.1	nan	mM	Homo sapiens	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.2	nan	mM	Homo sapiens	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.2	nan	mM	Homo sapiens	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.1	nan	mM	Homo sapiens	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.5	nan	mM	Saccharomyces cerevisiae	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.5	nan	mM	Saccharomyces cerevisiae	R00344	C00022	Brenda
Michaelis constant	v36	Pyr	0.5	nan	mM	Saccharomyces cerevisiae	R00344	C00022	Brenda
concentration of enzyme	v2	nan	89800	nan	molecules/cell	Saccharomyces cerevisiae	R00756	nan	yeastGFP
