!!SBtab TableType="Quantity" Version="0.1" Level="1.0" TableName="Teusink Data"
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mean	!Std	!Unit	!pH	!Temperature	!Organism	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound	!Reference
equilibrium constant	vPGK	nan	0.000241	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
equilibrium constant	vPGK	nan	0.000242	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
equilibrium constant	vPGK	nan	0.000251	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
equilibrium constant	vPGK	nan	0.000272	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
equilibrium constant	vPGK	nan	0.000274	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
equilibrium constant	vPGK	nan	0.000278	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
equilibrium constant	vPGK	nan	0.0003	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
equilibrium constant	vPGK	nan	0.000318	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
equilibrium constant	vPGK	nan	0.00031	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
equilibrium constant	vPGK	nan	0.000349	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
equilibrium constant	vPGK	nan	0.000392	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
equilibrium constant	vPGK	nan	0.0004	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
equilibrium constant	vPGK	nan	0.000529	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
equilibrium constant	vPGK	nan	0.000548	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
equilibrium constant	vPGK	nan	0.000549	nan	dimensionless	nan	nan	nan	R01512	nan	NIST
equilibrium constant	vPGK	nan	8e-05	nan	nan	dimensionless	nan	nan	R01512	nan	NIST
Michaelis constant	vPGK	ATP	0.04	nan	mM	7.8	298.15	Saccharomyces cerevisiae	R01512	C00002	Brenda
Michaelis constant	vPGK	ADP	0.2	nan	mM	nan	nan	Saccharomyces cerevisiae	R01512	C00008	Brenda
Michaelis constant	vPGK	P3G	2.5	nan	mM	7.5	298.15	Saccharomyces cerevisiae	R01512	C00197	Brenda
Michaelis constant	vPGK	P3G	1.28	nan	mM	nan	nan	Saccharomyces cerevisiae	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	1.25	nan	mM	7.5	298.15	Saccharomyces cerevisiae	R01512	C00002	Brenda
Michaelis constant	vPGK	ATP	3.45	nan	mM	7.8	298.15	Saccharomyces cerevisiae	R01512	C00002	Brenda
Michaelis constant	vPGK	ATP	0.33	nan	mM	7.5	298.15	Saccharomyces cerevisiae	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	0.77	nan	mM	7.5	298.15	Saccharomyces cerevisiae	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.48	nan	mM	nan	nan	Saccharomyces cerevisiae	R01512	C00002	Brenda
Michaelis constant	vPGK	ATP	0.35	nan	mM	7	nan	Oryctolagus cuniculus	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	0.0022	nan	mM	7	nan	Oryctolagus cuniculus	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.095	nan	mM	7.5	nan	Ovis aries	R01512	C00002	Brenda
Michaelis constant	vPGK	ATP	0.09	nan	mM	7.5	nan	Ovis aries	R01512	C00002	Brenda
Michaelis constant	vPGK	ATP	0.3	nan	mM	nan	nan	Spinacia oleracea	R01512	C00002	Brenda
Michaelis constant	vPGK	ADP	0.27	nan	mM	nan	nan	Spinacia oleracea	R01512	C00008	Brenda
Michaelis constant	vPGK	ATP	4.1	nan	mM	7.3	nan	Pisum sativum	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	7.6	nan	mM	7.3	nan	Pisum sativum	R01512	C00197	Brenda
Michaelis constant	vPGK	P3G	2	nan	mM	7.6	298.15	Trypanosoma brucei	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.12	nan	mM	nan	nan	Trypanosoma brucei	R01512	C00002	Brenda
Michaelis constant	vPGK	ATP	0.29	nan	mM	7.6	298.15	Trypanosoma brucei	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	2.4	nan	mM	nan	nan	Trypanosoma brucei	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.46	nan	mM	7.6	298.15	Trypanosoma brucei	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	11.9	nan	mM	7.6	298.15	Trypanosoma brucei	R01512	C00197	Brenda
Michaelis constant	vPGK	P3G	1.25	nan	mM	nan	298.15	Trypanosoma brucei	R01512	C00197	Brenda
Michaelis constant	vPGK	P3G	1.55	nan	mM	nan	298.15	Trypanosoma brucei	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.21	nan	mM	7.5	298.15	Trypanosoma brucei	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	0.52	nan	mM	nan	nan	Plasmodium falciparum	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.63	nan	mM	nan	nan	Plasmodium falciparum	R01512	C00002	Brenda
Michaelis constant	vPGK	ATP	1.1	nan	mM	6.5	298.15	Zymomonas mobilis	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	1.5	nan	mM	6.5	298.15	Zymomonas mobilis	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.32	nan	mM	7.3	nan	Selenastrum minutum	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	0.46	nan	mM	7.3	nan	Selenastrum minutum	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.73	nan	mM	nan	343.15	Methanothermus fervidus	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	0.75	nan	mM	nan	343.15	Methanothermus fervidus	R01512	C00197	Brenda
Michaelis constant	vPGK	P3G	0.6	nan	mM	7.5	303.15	Beta vulgaris	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.15	nan	mM	7.5	303.15	Beta vulgaris	R01512	C00002	Brenda
Michaelis constant	vPGK	ATP	0.9	nan	mM	nan	nan	Fasciola hepatica	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	1.26	nan	mM	nan	nan	Fasciola hepatica	R01512	C00197	Brenda
Michaelis constant	vPGK	P3G	2.2	nan	mM	7.6	298.15	nan	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	2.9	nan	mM	7.6	298.15	nan	R01512	C00002	Brenda
Michaelis constant	vPGK	ATP	0.038	nan	mM	nan	275.15	Mus musculus	R01512	C00002	Brenda
Michaelis constant	vPGK	ATP	0.11	nan	mM	6.9	298.15	Mus musculus	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	0.2	nan	mM	6.9	298.15	Mus musculus	R01512	C00197	Brenda
Michaelis constant	vPGK	ADP	0.19	nan	mM	nan	nan	Mus musculus	R01512	C00008	Brenda
Michaelis constant	vPGK	ATP	0.22	nan	mM	nan	nan	Mus musculus	R01512	C00002	Brenda
Michaelis constant	vPGK	ADP	0.23	nan	mM	nan	nan	Mus musculus	R01512	C00008	Brenda
Michaelis constant	vPGK	P3G	0.028	nan	mM	nan	275.15	Mus musculus	R01512	C00197	Brenda
Michaelis constant	vPGK	P3G	0.15	nan	mM	nan	nan	Mus musculus	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.42	nan	mM	nan	nan	Mus musculus	R01512	C00002	Brenda
Michaelis constant	vPGK	ADP	0.039	nan	mM	nan	275.15	Mus musculus	R01512	C00008	Brenda
Michaelis constant	vPGK	ATP	0.37	nan	mM	7.3	nan	Mus musculus	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	1.79	nan	mM	7.5	295.15	nan	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.28	nan	mM	7.5	295.15	nan	R01512	C00002	Brenda
Michaelis constant	vPGK	ATP	4.8	nan	mM	nan	343.15	Pyrococcus woesei	R01512	C00002	Brenda
Michaelis constant	vPGK	ATP	4.05	nan	mM	nan	343.15	Pyrococcus woesei	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	0.89	nan	mM	7.5	298.15	Pseudomonas sp.	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.38	nan	mM	7.5	298.15	Pseudomonas sp.	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	0.53	nan	mM	7.5	298.15	Pseudomonas sp.	R01512	C00197	Brenda
Michaelis constant	vPGK	P3G	0.48	nan	mM	nan	298.15	Pseudomonas sp.	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.7	nan	mM	6.8	318.15	Lactobacillus delbrueckii subsp. lactis	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	2.6	nan	mM	6.8	318.15	Lactobacillus delbrueckii subsp. lactis	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.59	nan	mM	nan	nan	Nitrosospira sp. TYM9	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	0.72	nan	mM	nan	nan	Nitrosospira sp. TYM9	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	2.11	nan	mM	nan	nan	Nitrosospira sp. PJA1	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	0.57	nan	mM	nan	nan	Nitrosospira sp. PJA1	R01512	C00197	Brenda
Michaelis constant	vPGK	P3G	0.8	nan	mM	nan	nan	Nitrosospira sp. TCH716	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.57	nan	mM	nan	nan	Nitrosospira sp. TCH716	R01512	C00002	Brenda
Michaelis constant	vPGK	ATP	0.76	nan	mM	nan	nan	Nitrosospira sp. KAN8	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	1.02	nan	mM	nan	nan	Nitrosospira sp. KAN8	R01512	C00197	Brenda
Michaelis constant	vPGK	P3G	0.5	nan	mM	nan	nan	nan	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.53	nan	mM	nan	nan	nan	R01512	C00002	Brenda
Michaelis constant	vPGK	ATP	1.96	nan	mM	nan	nan	Nitrosovibrio sp. RY3C	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	0.81	nan	mM	nan	nan	Nitrosovibrio sp. RY6A	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	1.58	nan	mM	nan	nan	Nitrosovibrio sp. RY6A	R01512	C00002	Brenda
Michaelis constant	vPGK	ATP	0.3	nan	mM	nan	nan	Homo sapiens	R01512	C00002	Brenda
Michaelis constant	vPGK	ATP	0.5	nan	mM	nan	nan	Homo sapiens	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	1.1	nan	mM	nan	343.15	Homo sapiens	R01512	C00197	Brenda
Michaelis constant	vPGK	P3G	0.59	nan	mM	7.5	298.15	Homo sapiens	R01512	C00197	Brenda
Michaelis constant	vPGK	P3G	1.41	nan	mM	nan	nan	Nitrosovibrio sp. FJI82	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.66	nan	mM	nan	nan	Nitrosovibrio sp. FJI82	R01512	C00002	Brenda
Michaelis constant	vPGK	ATP	0.51	nan	mM	nan	nan	Nitrosospira sp. GS833	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	1.39	nan	mM	nan	nan	Nitrosospira sp. GS833	R01512	C00197	Brenda
Michaelis constant	vPGK	P3G	0.9	nan	mM	nan	nan	Nitrosospira sp. NRS527	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.77	nan	mM	nan	nan	Nitrosospira sp. NRS527	R01512	C00002	Brenda
Michaelis constant	vPGK	P3G	1.65	nan	mM	7.4	298.15	Rattus norvegicus	R01512	C00197	Brenda
Michaelis constant	vPGK	P3G	1.66	nan	mM	7.4	298.15	Rattus norvegicus	R01512	C00197	Brenda
Michaelis constant	vPGK	P3G	1.4	nan	mM	7.4	343.15	Rattus norvegicus	R01512	C00197	Brenda
Michaelis constant	vPGK	ATP	0.24	nan	mM	7.5	298.15	Rattus norvegicus	R01512	C00002	Brenda
concentration	nan	CO2	69.6	62.6	mM	nan	nan	nan	nan	C00011	nan
standard chemical potential	nan	CO2	-394.36	nan	kJ/mol	nan	nan	nan	nan	C00011	Alberty
standard chemical potential	nan	CO2	-547.13	nan	kJ/mol	nan	nan	nan	nan	C00011	Alberty
concentration	nan	NADH	341	307	mM	nan	nan	nan	nan	C00004	nan
standard chemical potential	nan	NADH	1117.5	nan	kJ/mol	nan	nan	nan	nan	C00004	Alberty
concentration	nan	TRIO	0.33	nan	mM	nan	nan	Saccharomyces cerevisiae	nan	C00111	nan
concentration	nan	TRIO	0.203	nan	mM	nan	nan	Escherichia coli	nan	C00111	nan
concentration	nan	TRIO	0.1	nan	mM	nan	nan	Dictyostelium discoideum	nan	C00111	nan
concentration	nan	TRIO	0.012	nan	mM	nan	nan	Homo sapiens	nan	C00111	nan
concentration	nan	TRIO	0.0007	nan	mM	nan	nan	Vigna radiata var. radiata	nan	C00111	nan
concentration	nan	TRIO	0.012	nan	mM	nan	nan	Rattus sp.	nan	C00111	nan
concentration	nan	TRIO	0.01	nan	mM	nan	nan	Oryctolagus cuniculus	nan	C00111	nan
concentration	nan	TRIO	32.8	29.5	mM	nan	nan	nan	nan	C00111	nan
concentration	nan	TRIO	0.045	0.005	mM	nan	nan	Rattus sp.	nan	C00111	nan
concentration	nan	TRIO	0.043	0.003	mM	nan	nan	Rattus sp.	nan	C00111	nan
standard chemical potential	nan	TRIO	-1095.82	nan	kJ/mol	nan	nan	nan	nan	C00111	Alberty
concentration	nan	GLCi	341	307	mM	nan	nan	nan	nan	C00293	nan
standard chemical potential	nan	GLCi	-428.06	nan	kJ/mol	nan	nan	nan	nan	C00293	Alberty
concentration	nan	ADP	0.823	nan	mM	nan	nan	Escherichia coli	nan	C00008	nan
concentration	nan	ADP	0.2	nan	mM	nan	nan	Dictyostelium discoideum	nan	C00008	nan
concentration	nan	ADP	1.7	nan	mM	nan	nan	Rattus sp.	nan	C00008	nan
concentration	nan	ADP	1.059	nan	mM	nan	nan	Rattus sp.	nan	C00008	nan
concentration	nan	ADP	0.126	nan	mM	nan	nan	Homo sapiens	nan	C00008	nan
concentration	nan	ADP	0.5	nan	mM	nan	nan	Oryctolagus cuniculus	nan	C00008	nan
concentration	nan	ADP	184	166	mM	nan	nan	nan	nan	C00008	nan
concentration	nan	ADP	0.81	0.49	mM	nan	nan	Saccharomyces cerevisiae	nan	C00008	nan
concentration	nan	ADP	1.084	0.208	mM	nan	nan	Rattus sp.	nan	C00008	nan
standard chemical potential	nan	ADP	-1425.17	nan	kJ/mol	nan	nan	nan	nan	C00008	Alberty
concentration	nan	F16P	1.9	nan	mM	nan	nan	Escherichia coli	nan	C00354	nan
concentration	nan	F16P	0.05	nan	mM	nan	nan	Dictyostelium discoideum	nan	C00354	nan
concentration	nan	F16P	0.046	nan	mM	nan	nan	Rattus sp.	nan	C00354	nan
concentration	nan	F16P	0.005	nan	mM	nan	nan	Homo sapiens	nan	C00354	nan
concentration	nan	F16P	0.001	nan	mM	nan	nan	Vigna radiata var. radiata	nan	C00354	nan
concentration	nan	F16P	0.0085	nan	mM	nan	nan	Rattus sp.	nan	C00354	nan
concentration	nan	F16P	0.007	nan	mM	nan	nan	Oryctolagus cuniculus	nan	C00354	nan
concentration	nan	F16P	19.7	17.8	mM	nan	nan	nan	nan	C00354	nan
concentration	nan	F16P	3.1	1.4	mM	nan	nan	Saccharomyces cerevisiae	nan	C00354	nan
concentration	nan	F16P	0.031	0.008	mM	nan	nan	Rattus sp.	nan	C00354	nan
standard chemical potential	nan	F16P	-2206.14	nan	kJ/mol	nan	nan	nan	nan	C00354	Alberty
concentration	nan	NAD	0.025	nan	mM	nan	nan	Dictyostelium discoideum	nan	C00003	nan
concentration	nan	NAD	1.097	nan	mM	nan	nan	Rattus sp.	nan	C00003	nan
concentration	nan	NAD	0.31	nan	mM	nan	nan	Rattus sp.	nan	C00003	nan
concentration	nan	NAD	0.426	nan	mM	nan	nan	Rattus sp.	nan	C00003	nan
concentration	nan	NAD	1.3	0.3	mM	nan	nan	Saccharomyces cerevisiae	nan	C00003	nan
concentration	nan	NAD	1.667	0.411	mM	nan	nan	Escherichia coli	nan	C00003	nan
standard chemical potential	nan	NAD	1056.29	nan	kJ/mol	nan	nan	nan	nan	C00003	Alberty
concentration	nan	ATP	2.641	nan	mM	nan	nan	Escherichia coli	nan	C00002	nan
concentration	nan	ATP	0.7	nan	mM	nan	nan	Dictyostelium discoideum	nan	C00002	nan
concentration	nan	ATP	3.535	nan	mM	nan	nan	Rattus sp.	nan	C00002	nan
concentration	nan	ATP	3.075	nan	mM	nan	nan	Rattus sp.	nan	C00002	nan
concentration	nan	ATP	1.13	nan	mM	nan	nan	Homo sapiens	nan	C00002	nan
concentration	nan	ATP	0.0109	nan	mM	nan	nan	Vigna radiata var. radiata	nan	C00002	nan
concentration	nan	ATP	1.7	nan	mM	nan	nan	Oryctolagus cuniculus	nan	C00002	nan
concentration	nan	ATP	176	158	mM	nan	nan	nan	nan	C00002	nan
concentration	nan	ATP	1.5	0.4	mM	nan	nan	Saccharomyces cerevisiae	nan	C00002	nan
concentration	nan	ATP	3.3	2.3	mM	nan	nan	Rattus sp.	nan	C00002	nan
standard chemical potential	nan	ATP	-2292.28	nan	kJ/mol	nan	nan	nan	nan	C00002	Alberty
concentration	nan	PEP	0.143	nan	mM	nan	nan	Rattus sp.	nan	C00074	nan
concentration	nan	PEP	0.008	nan	mM	nan	nan	Rattus sp.	nan	C00074	nan
concentration	nan	PEP	0.012	nan	mM	nan	nan	Homo sapiens	nan	C00074	nan
concentration	nan	PEP	0.004	nan	mM	nan	nan	Rattus sp.	nan	C00074	nan
concentration	nan	PEP	0.01	nan	mM	nan	nan	Oryctolagus cuniculus	nan	C00074	nan
concentration	nan	PEP	32.8	29.5	mM	nan	nan	nan	nan	C00074	nan
concentration	nan	PEP	0.1955	0.1045	mM	nan	nan	Escherichia coli	nan	C00074	nan
standard chemical potential	nan	PEP	-1189.04	nan	kJ/mol	nan	nan	nan	nan	C00074	Alberty
concentration	nan	ACE	89.6	80.7	mM	nan	nan	nan	nan	C00084	nan
standard chemical potential	nan	ACE	23.61	nan	kJ/mol	nan	nan	nan	nan	C00084	Alberty
concentration	nan	ETOH	137	124	mM	nan	nan	nan	nan	C00469	nan
standard chemical potential	nan	ETOH	62.28	nan	kJ/mol	nan	nan	nan	nan	C00469	Alberty
concentration	nan	BPG	9.61	8.65	mM	nan	nan	nan	nan	C00236	nan
standard chemical potential	nan	BPG	-2206.35	nan	kJ/mol	nan	nan	nan	nan	C00236	Alberty
concentration	nan	G6P	82.1	73.9	mM	nan	nan	nan	nan	C00668	nan
standard chemical potential	nan	G6P	-1319.75	nan	kJ/mol	nan	nan	nan	nan	C00668	Alberty
concentration	nan	PYR	1.6	nan	mM	nan	nan	Saccharomyces cerevisiae	nan	C00022	nan
concentration	nan	PYR	0.39	nan	mM	nan	nan	Escherichia coli	nan	C00022	nan
concentration	nan	PYR	0.06	nan	mM	nan	nan	Dictyostelium discoideum	nan	C00022	nan
concentration	nan	PYR	0.187	nan	mM	nan	nan	Rattus sp.	nan	C00022	nan
concentration	nan	PYR	0.056	nan	mM	nan	nan	Rattus sp.	nan	C00022	nan
concentration	nan	PYR	0.09	nan	mM	nan	nan	Oryctolagus cuniculus	nan	C00022	nan
concentration	nan	PYR	88.9	80	mM	nan	nan	nan	nan	C00022	nan
concentration	nan	PYR	0.1495	0.1105	mM	nan	nan	Rattus sp.	nan	C00022	nan
standard chemical potential	nan	PYR	-351.01	nan	kJ/mol	nan	nan	nan	nan	C00022	Alberty
concentration	nan	F26BP	19.7	17.8	mM	nan	nan	nan	nan	C00665	nan
concentration	nan	P2G	0.049	nan	mM	nan	nan	Rattus sp.	nan	C00631	nan
concentration	nan	P2G	0.005	nan	mM	nan	nan	Rattus sp.	nan	C00631	nan
concentration	nan	P2G	0.007	nan	mM	nan	nan	Homo sapiens	nan	C00631	nan
concentration	nan	P2G	0.005	nan	mM	nan	nan	Oryctolagus cuniculus	nan	C00631	nan
concentration	nan	P2G	40	36	mM	nan	nan	nan	nan	C00631	nan
concentration	nan	P2G	0.76	0.34	mM	nan	nan	Saccharomyces cerevisiae	nan	C00631	nan
concentration	nan	P2G	0.026	-0.023	mM	nan	nan	Rattus sp.	nan	C00631	nan
standard chemical potential	nan	P2G	-1341.51	nan	kJ/mol	nan	nan	nan	nan	C00631	Alberty
concentration	nan	P3G	0.41	nan	mM	nan	nan	Rattus sp.	nan	C00197	nan
concentration	nan	P3G	0.048	nan	mM	nan	nan	Homo sapiens	nan	C00197	nan
concentration	nan	P3G	0.026	nan	mM	nan	nan	Rattus sp.	nan	C00197	nan
concentration	nan	P3G	0.046	nan	mM	nan	nan	Oryctolagus cuniculus	nan	C00197	nan
concentration	nan	P3G	40	36	mM	nan	nan	nan	nan	C00197	nan
concentration	nan	P3G	0.18	0.08	mM	nan	nan	Saccharomyces cerevisiae	nan	C00197	nan
concentration	nan	P3G	0.044	0.004	mM	nan	nan	Rattus sp.	nan	C00197	nan
standard chemical potential	nan	P3G	-1347.41	nan	kJ/mol	nan	nan	nan	nan	C00197	Alberty
standard chemical potential	nan	F6P	-1316.55	nan	kJ/mol	nan	nan	nan	nan	C05345	Alberty
concentration	nan	AMP	0.151	nan	mM	nan	nan	Escherichia coli	nan	C00020	nan
concentration	nan	AMP	0.05	nan	mM	nan	nan	Homo sapiens	nan	C00020	nan
concentration	nan	AMP	0.0109	nan	mM	nan	nan	Vigna radiata var. radiata	nan	C00020	nan
concentration	nan	AMP	0.123	nan	mM	nan	nan	Rattus sp.	nan	C00020	nan
concentration	nan	AMP	0.06	nan	mM	nan	nan	Oryctolagus cuniculus	nan	C00020	nan
concentration	nan	AMP	193	174	mM	nan	nan	nan	nan	C00020	nan
concentration	nan	AMP	0.235	0.065	mM	nan	nan	Saccharomyces cerevisiae	nan	C00020	nan
standard chemical potential	nan	AMP	-555.8	nan	kJ/mol	nan	nan	nan	nan	C00020	Alberty
