!!SBtab TableType="QuantityData" Version="0.1" Level="1.0" TableName="Hynne Results"
!QuantityType	!SBML:reaction:id	!SBML:species:id	!Mode	!Value	!Std	!Unit	!Provenance	!Type	!Source
catalytic rate constant geometric mean	vlacto	None	10.0033	10.0033	46.9305622947	1/s	Balanced parameter value	Derived	None
catalytic rate constant geometric mean	vinCN	None	10.0033	10.0033	46.9305622947	1/s	Balanced parameter value	Derived	None
catalytic rate constant geometric mean	vstorage	None	10.0033	10.0033	46.9305622947	1/s	Balanced parameter value	Derived	None
catalytic rate constant geometric mean	vconsum	None	10.0033	10.0033	46.9305622947	1/s	Balanced parameter value	Derived	None
catalytic rate constant geometric mean	vAK	None	10.0033	10.0033	46.9305622947	1/s	Balanced parameter value	Derived	None
reaction affinity	vinGlc	None	66040756.0828	66040756.0828	5.71675245127e+14	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vGlcTrans	None	66941083.5502	66941083.5502	5.80720235918e+14	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vHK	None	529774.476867	529774.476867	163317.278477	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vPGI	None	0.0555037164027	0.0555037164027	0.0127212499382	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vPFK	None	7283102.4329	7283102.4329	6693293.45815	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vALD	None	9.52097365152e+32	9.52097365152e+32	4.60747578522e+37	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vTIM	None	0.00899000687259	0.00899000687259	0.00935193909118	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vGAPDH	None	0.0086505241728	0.0086505241728	0.00334359975296	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vlpPEP	None	8.3269187924e-10	8.3269187924e-10	2.8646060345e-10	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vPK	None	2.28097910901e-09	2.28097910901e-09	9.33689539974e-10	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vPDC	None	2.653211395e+28	2.653211395e+28	4.97609237599e+30	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vADH	None	3.45215430156e-12	3.45215430156e-12	1.49943862743e-12	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vdifEtOH	None	588650177.282	588650177.282	5.09022071645e+15	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	voutEtOH	None	568737163.831	568737163.831	3.61788634148e+15	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vlpGlyc	None	2.06308168018e-38	2.06308168018e-38	3.2014544683e-36	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vdifGlyc	None	1833288.21612	1833288.21612	1.59117564786e+13	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	voutGlyc	None	2055628.48034	2055628.48034	1.31417175112e+13	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vdifACA	None	370778.589587	370778.589587	3.21642320463e+12	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	voutACA	None	6.65243092143e+22	6.65243092143e+22	2.06771172217e+29	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vlacto	None	5.56578702616e-13	5.56578702616e-13	3.50085212629e-06	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vinCN	None	0.00808941374693	0.00808941374693	47718.5107067	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vstorage	None	1.96749282464e-30	1.96749282464e-30	1.63874387832e-26	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vconsum	None	3.64541014299e-10	3.64541014299e-10	3.49490358698e-09	kJ/mol	Balanced parameter value	Derived	None
reaction affinity	vAK	None	1.36560407659e+16	1.36560407659e+16	1.42314881958e+23	kJ/mol	Balanced parameter value	Derived	None
forward maximal velocity	vinGlc	None	0.0007	0.0007	0.358581378813	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vGlcTrans	None	0.0007	0.0007	0.358008728252	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vHK	None	0.0015	0.0015	0.0365605182668	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vPGI	None	0.0272	0.0272	0.393511532956	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vPFK	None	0.003	0.003	0.0748645559435	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vALD	None	0.0001	0.0001	0.00150235166012	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vTIM	None	9.1104	9.1104	5.60337741044	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vGAPDH	None	0.0451	0.0451	1.32655901809	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vlpPEP	None	0.1303	0.1303	0.100156109628	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vPK	None	0.0057	0.0057	0.221476493755	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vPDC	None	0.0	0.0	1.72678288762e-06	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vADH	None	0.002	0.002	0.0511395641855	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vdifEtOH	None	0.0005	0.0005	0.258899464744	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	voutEtOH	None	0.0005	0.0005	0.245247020351	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vlpGlyc	None	385.7063	385.7063	9393.81527351	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vdifGlyc	None	0.0013	0.0013	0.611549216542	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	voutGlyc	None	0.0012	0.0012	0.5667479739	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vdifACA	None	0.0016	0.0016	0.7756623479	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	voutACA	None	0.0	0.0	0.00172259766385	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vlacto	None	0.1524	0.1524	86.7506823801	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vinCN	None	0.0208	0.0208	9.93854527451	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vstorage	None	12.7055	12.7055	5743.61120656	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vconsum	None	0.0356	0.0356	9.39170885103	mM/s	Balanced parameter value	Derived	None
forward maximal velocity	vAK	None	0.0	0.0	0.0170836625823	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vinGlc	None	0.0014	0.0014	0.656469849455	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vGlcTrans	None	0.0014	0.0014	0.657645669185	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vHK	None	0.0338	0.0338	0.818067070377	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vPGI	None	0.0114	0.0114	0.165179234775	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vPFK	None	0.1192	0.1192	2.92810734441	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vALD	None	322.1092	322.1092	9517.24390271	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vTIM	None	1.0498	1.0498	0.681156637208	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vGAPDH	None	0.016	0.016	0.47147874449	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vlpPEP	None	0.0014	0.0014	0.0175849194145	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vPK	None	0.0001	0.0001	0.00438149184963	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vPDC	None	6.2956	6.2956	104.6519934	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vADH	None	0.0	0.0	9.72178647124e-05	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vdifEtOH	None	0.0019	0.0019	0.909139982269	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	voutEtOH	None	0.002	0.002	0.933978029898	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vlpGlyc	None	0.0	0.0	2.11074081477e-06	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vdifGlyc	None	0.0008	0.0008	0.385010933984	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	voutGlyc	None	0.0008	0.0008	0.404335898326	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vdifACA	None	0.0006	0.0006	0.303536888814	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	voutACA	None	0.2693	0.2693	124.789999829	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vlacto	None	0.0	0.0	0.0037384711955	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vinCN	None	0.0	0.0	0.0228934830702	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vstorage	None	0.0	0.0	3.56086190591e-05	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vconsum	None	0.0	0.0	0.00743087478168	mM/s	Balanced parameter value	Derived	None
reverse maximal velocity	vAK	None	0.0339	0.0339	19.6625312307	mM/s	Balanced parameter value	Derived	None
