!!SBtab TableID='ParameterBalanced' SBtabVersion='1.0' TableType='Quantity' TableName='Parameter' Document='ecoli_noor_2016_data.tsv' Date='2018-11-28'
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mode	!Unit	!UnconstrainedGeometricMean	!UnconstrainedGeometricStd	!UnconstrainedMean	!UnconstrainedStd
Michaelis constant	RPE_R01529	D_Xylulose_5_phosphate	0.1547	mM	0.1547	3.8049	0.3777	0.8415
Michaelis constant	TXT_R01641	D_Xylulose_5_phosphate	0.3103	mM	0.3103	2.1821	0.4207	0.3852
Michaelis constant	TXT_R01641	D_Ribose_5_phosphate	0.3326	mM	0.3326	2.1821	0.4509	0.4129
Michaelis constant	TXT_R01641	D_Glyceraldehyde_3_phosphate	2.2243	mM	2.2243	2.1821	3.0159	2.7613
Michaelis constant	TXT_R01641	Sedoheptulose_7_phosphate	1.8589	mM	1.8589	2.1821	2.5204	2.3077
Michaelis constant	TAL_R08575	D_Glyceraldehyde_3_phosphate	0.0626	mM	0.0626	2.1821	0.0848	0.0777
Michaelis constant	TAL_R08575	Sedoheptulose_7_phosphate	0.1845	mM	0.1845	2.1821	0.2502	0.2291
Michaelis constant	TAL_R08575	D_Erythrose_4_phosphate	0.0271	mM	0.0271	2.1821	0.0368	0.0337
Michaelis constant	TAL_R08575	D_Fructose_6_phosphate	0.307	mM	0.307	2.1821	0.4163	0.3811
Michaelis constant	TXT_R01067	D_Erythrose_4_phosphate	0.2349	mM	0.2349	2.1821	0.3185	0.2916
Michaelis constant	TXT_R01067	D_Xylulose_5_phosphate	0.3085	mM	0.3085	2.1821	0.4183	0.383
Michaelis constant	TXT_R01067	D_Glyceraldehyde_3_phosphate	2.237	mM	2.237	2.1821	3.033	2.7771
Michaelis constant	TXT_R01067	D_Fructose_6_phosphate	3.0666	mM	3.0666	2.1821	4.1579	3.807
Michaelis constant	FBP_R00762	D_Fructose_1_6_bisphosphate	0.0113	mM	0.0113	2.1826	0.0153	0.014
Michaelis constant	FBP_R00762	Orthophosphate	0.2694	mM	0.2694	9.3971	3.3142	40.6342
Michaelis constant	FBP_R00762	D_Fructose_6_phosphate	0.2694	mM	0.2694	9.3971	3.3142	40.6342
Michaelis constant	CSN_R00351	Acetyl_CoA	0.0178	mM	0.0178	2.1307	0.0237	0.0208
Michaelis constant	CSN_R00351	Oxaloacetate	0.0125	mM	0.0125	2.1307	0.0166	0.0146
Michaelis constant	CSN_R00351	CoA	120.8273	mM	120.8273	4.4865	372.7689	1087.9538
Michaelis constant	CSN_R00351	Citrate	1.2812	mM	1.2812	2.1307	1.7057	1.4989
Michaelis constant	ACN_R01325	Citrate	0.4202	mM	0.4202	2.182	0.5697	0.5216
Michaelis constant	ACN_R01325	cis_Aconitate	0.0153	mM	0.0153	2.182	0.0208	0.0191
Michaelis constant	ACN_R01900	cis_Aconitate	0.015	mM	0.015	2.182	0.0204	0.0186
Michaelis constant	ACN_R01900	Isocitrate	0.1349	mM	0.1349	2.182	0.183	0.1675
Michaelis constant	ICD_R00709	NADplus	0.0479	mM	0.0479	2.1605	0.0644	0.058
Michaelis constant	ICD_R00709	Isocitrate	0.9691	mM	0.9691	2.1605	1.3039	1.1737
Michaelis constant	ICD_R00709	NADH	0.7495	mM	0.7495	7.094	5.1093	34.4503
Michaelis constant	ICD_R00709	_2_Oxoglutarate	0.7495	mM	0.7495	7.094	5.1093	34.4503
Michaelis constant	ICD_R00709	CO2	0.7495	mM	0.7495	7.094	5.1093	34.4503
Michaelis constant	KGD_R08549	NADplus	0.1	mM	0.1	10.0	1.4167	20.0217
Michaelis constant	KGD_R08549	_2_Oxoglutarate	1.9218	mM	1.9218	2.1879	2.6111	2.4016
Michaelis constant	KGD_R08549	CoA	0.1	mM	0.1	10.0	1.4167	20.0217
Michaelis constant	KGD_R08549	NADH	0.1	mM	0.1	10.0	1.4167	20.0217
Michaelis constant	KGD_R08549	CO2	0.1	mM	0.1	10.0	1.4167	20.0217
Michaelis constant	KGD_R08549	Succinyl_CoA	0.0587	mM	0.0587	2.1879	0.0798	0.0734
Michaelis constant	SCS_R00405	Orthophosphate	0.9091	mM	0.9091	2.0961	1.1956	1.021
Michaelis constant	SCS_R00405	ADP	0.0768	mM	0.0768	2.0961	0.1009	0.0862
Michaelis constant	SCS_R00405	Succinyl_CoA	0.0382	mM	0.0382	2.0961	0.0503	0.043
Michaelis constant	SCS_R00405	ATP	0.0418	mM	0.0418	2.0961	0.0549	0.0469
Michaelis constant	SCS_R00405	CoA	0.0405	mM	0.0405	2.0961	0.0532	0.0454
Michaelis constant	SCS_R00405	Succinate	0.7326	mM	0.7326	2.0961	0.9633	0.8227
Michaelis constant	SDH_R02164	Ubiquinone	0.0189	mM	0.0189	2.1307	0.0252	0.0222
Michaelis constant	SDH_R02164	Succinate	0.0531	mM	0.0531	2.1307	0.0707	0.0621
Michaelis constant	SDH_R02164	Fumarate	0.123	mM	0.123	2.1307	0.1637	0.1439
Michaelis constant	SDH_R02164	Ubiquinol	6.3578	mM	6.3578	4.4865	19.6146	57.2468
Michaelis constant	FUM_R01082	Fumarate	0.1594	mM	0.1594	2.0271	0.2046	0.1647
Michaelis constant	FUM_R01082	_S__Malate	0.2984	mM	0.2984	2.0271	0.3831	0.3083
Michaelis constant	MDH_R00342	_S__Malate	1.1801	mM	1.1801	2.0711	1.5383	1.2861
Michaelis constant	MDH_R00342	NADplus	0.3018	mM	0.3018	2.0711	0.3934	0.3289
Michaelis constant	MDH_R00342	NADH	0.0071	mM	0.0071	2.0711	0.0092	0.0077
Michaelis constant	MDH_R00342	Oxaloacetate	0.0087	mM	0.0087	2.0711	0.0114	0.0095
Michaelis constant	PPC_R00345	Orthophosphate	0.3239	mM	0.3239	9.4008	3.9878	48.936
Michaelis constant	PPC_R00345	Oxaloacetate	0.3239	mM	0.3239	9.4008	3.9878	48.936
Michaelis constant	PPC_R00345	CO2	0.1133	mM	0.1133	2.1827	0.1537	0.1408
Michaelis constant	PPC_R00345	Phosphoenolpyruvate	0.2113	mM	0.2113	2.1827	0.2866	0.2625
